,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,reviews_per_month,availability_365
27320,Brooklyn,40.68847,-73.93897,Private room,85,2,0.57,54
28205,Brooklyn,40.7192,-73.94354,Private room,71,6,1.0,20
20121,Brooklyn,40.67702,-73.97907,Private room,100,2,2.59,292
23844,Manhattan,40.70621,-74.01238000000002,Entire home/apt,425,2,2.11,339
20759,Brooklyn,40.7218,-73.94085,Entire home/apt,250,7,0.16,35
18474,Brooklyn,40.64118,-73.95245,Private room,54,2,0.28,286
12040,Brooklyn,40.67305,-73.94788,Private room,90,1,0.34,179
12509,Queens,40.75636,-73.92699999999998,Entire home/apt,70,30,0.41,3
27682,Manhattan,40.7283,-73.98589,Entire home/apt,130,3,1.0,4
16945,Brooklyn,40.6724,-73.87640999999998,Entire home/apt,175,3,0.74,292
4291,Manhattan,40.77904,-73.98899,Private room,90,1,0.46,341
15658,Manhattan,40.80086,-73.93979,Entire home/apt,80,5,0.93,46
24275,Manhattan,40.72734000000001,-73.98389,Entire home/apt,369,1,3.75,97
27501,Manhattan,40.75451,-73.96348,Entire home/apt,190,30,0.0,365
9845,Brooklyn,40.70879,-73.94937,Private room,70,7,0.45,292
22592,Brooklyn,40.71408,-73.95501,Entire home/apt,60,1,5.66,234
27925,Queens,40.78714,-73.84378000000002,Entire home/apt,87,2,0.0,358
28996,Manhattan,40.76286,-73.99113,Entire home/apt,129,1,4.0,186
9385,Brooklyn,40.67954,-73.99935,Private room,100,2,2.78,74
21828,Manhattan,40.72976,-74.00386999999998,Entire home/apt,350,30,0.0,341
14125,Brooklyn,40.66933,-73.99158,Entire home/apt,125,3,3.38,99
19861,Manhattan,40.79933,-73.94283,Private room,59,1,2.99,247
25608,Brooklyn,40.6386,-73.94584,Entire home/apt,82,1,2.27,19
17164,Brooklyn,40.71604,-73.94216999999998,Entire home/apt,53,3,0.3,29
8362,Brooklyn,40.67293,-73.95519,Entire home/apt,150,2,3.79,299
10867,Manhattan,40.80842,-73.95568,Private room,158,1,4.37,238
933,Manhattan,40.80762,-73.94017,Private room,50,2,0.62,60
29940,Manhattan,40.73295,-74.00365,Entire home/apt,89,1,0.0,72
26129,Queens,40.69955,-73.72247,Entire home/apt,180,1,0.0,83
21809,Brooklyn,40.66456,-73.95215999999998,Private room,80,1,0.0,359
17869,Brooklyn,40.65401,-73.96212,Entire home/apt,125,1,1.8,93
8915,Manhattan,40.76911,-73.95694,Entire home/apt,129,30,0.35,299
24177,Manhattan,40.7718,-73.95555999999998,Private room,150,2,1.4,345
18384,Manhattan,40.75762,-73.98486,Entire home/apt,325,1,0.0,360
2628,Manhattan,40.73776,-73.99996,Entire home/apt,156,1,0.15,300
24768,Queens,40.70504,-73.86933,Entire home/apt,131,3,2.87,319
28044,Manhattan,40.75871,-73.96948,Entire home/apt,235,2,4.0,171
19862,Brooklyn,40.69038,-73.91909,Private room,85,1,0.12,177
7977,Brooklyn,40.66113,-73.94542,Private room,55,2,1.62,88
20057,Brooklyn,40.63979000000001,-73.90378,Private room,55,1,0.95,365
14440,Brooklyn,40.67668,-73.93997,Private room,60,1,0.94,85
24918,Queens,40.6853,-73.76814,Private room,55,1,3.13,180
26473,Manhattan,40.74695,-73.97615,Entire home/apt,200,29,0.0,339
3132,Brooklyn,40.69368,-73.92295,Entire home/apt,110,1,3.06,179
8907,Brooklyn,40.68861,-73.94109,Entire home/apt,115,1,9.61,137
15680,Manhattan,40.74482,-73.99882,Entire home/apt,180,1,4.67,223
22006,Manhattan,40.80306,-73.95508000000002,Private room,65,1,6.7,4
22661,Brooklyn,40.68908,-73.97309,Entire home/apt,115,2,1.0,16
24886,Brooklyn,40.70002,-73.94054,Shared room,35,30,0.26,341
28670,Brooklyn,40.62958,-73.96137,Entire home/apt,150,20,0.0,35
1341,Manhattan,40.82173,-73.95548000000002,Private room,60,2,0.46,211
18767,Queens,40.71775,-73.87488,Entire home/apt,85,2,3.4,290
10940,Brooklyn,40.70669,-73.94648000000002,Private room,85,1,0.55,7
29812,Brooklyn,40.7122,-73.96667,Private room,90,2,0.0,211
17334,Brooklyn,40.6708,-73.94011,Entire home/apt,159,1,4.07,110
29185,Manhattan,40.72513,-73.9839,Entire home/apt,315,5,2.0,160
19254,Brooklyn,40.67769000000001,-73.96548,Entire home/apt,150,15,0.24,57
29187,Queens,40.75909,-73.92227,Private room,95,1,0.0,355
27742,Manhattan,40.76129,-73.96178,Private room,85,1,7.3,29
20466,Manhattan,40.83773,-73.94415,Private room,125,3,0.0,178
28772,Brooklyn,40.66993,-73.97709,Entire home/apt,97,11,0.0,25
2001,Queens,40.76781,-73.92684,Entire home/apt,70,20,1.05,364
30544,Brooklyn,40.59174,-73.95815999999998,Private room,46,4,0.0,60
12462,Manhattan,40.79031,-73.94688000000002,Private room,113,1,0.48,90
26666,Queens,40.70513,-73.90100000000002,Private room,149,1,0.0,180
2450,Manhattan,40.77021,-73.98721,Private room,150,1,2.49,365
15790,Brooklyn,40.65814,-73.97718,Entire home/apt,250,2,4.89,213
18006,Brooklyn,40.69257,-73.92331999999998,Entire home/apt,150,1,0.62,88
22587,Brooklyn,40.72574,-73.93785,Private room,60,5,1.16,133
24017,Manhattan,40.77995,-73.98464,Entire home/apt,220,2,0.62,36
26274,Brooklyn,40.64383,-74.02051,Private room,45,4,0.0,179
11213,Queens,40.75851,-73.92555,Private room,110,4,1.41,47
10753,Queens,40.74354,-73.90093,Private room,100,3,0.0,90
19299,Queens,40.67286,-73.79666,Shared room,29,5,0.1,365
19032,Manhattan,40.79884000000001,-73.9424,Shared room,49,2,2.31,12
23827,Brooklyn,40.68683,-73.93825,Entire home/apt,140,1,0.47,68
6721,Manhattan,40.75435,-73.96729,Entire home/apt,150,1,3.52,58
25902,Brooklyn,40.67435,-73.9891,Private room,99,1,10.17,1
21054,Manhattan,40.73328,-73.99431,Private room,150,7,0.0,2
3967,Manhattan,40.74726,-74.00213000000002,Shared room,70,2,2.61,309
12415,Brooklyn,40.6861,-73.93997,Entire home/apt,60,2,5.82,88
17920,Brooklyn,40.70553,-73.91938,Private room,53,2,2.46,143
20462,Brooklyn,40.72637,-73.95248000000002,Private room,95,5,4.15,101
16935,Manhattan,40.78802,-73.96925999999998,Entire home/apt,117,30,0.0,200
22135,Brooklyn,40.6782,-73.945,Private room,55,2,0.86,89
5084,Manhattan,40.76525,-73.98895,Private room,140,1,3.17,249
24925,Brooklyn,40.70204,-73.93027,Private room,40,5,0.36,364
17314,Manhattan,40.74383,-73.97798,Entire home/apt,499,3,0.82,55
18083,Queens,40.56605,-73.86994,Private room,195,1,0.35,160
6730,Queens,40.71382,-73.91282,Entire home/apt,89,3,1.26,331
3719,Brooklyn,40.68387,-73.95373000000002,Entire home/apt,150,5,0.28,363
15340,Manhattan,40.73674000000001,-73.98308,Entire home/apt,100,3,3.2,3
25822,Manhattan,40.76661,-73.99082,Shared room,85,1,4.44,161
1260,Manhattan,40.80343,-73.93514,Entire home/apt,120,3,0.31,365
12238,Manhattan,40.71222,-74.01566,Entire home/apt,350,7,0.33,51
7313,Manhattan,40.76407,-73.98868,Entire home/apt,169,30,0.0,364
74,Brooklyn,40.69723,-73.99268000000002,Entire home/apt,800,1,0.24,7
13741,Brooklyn,40.68634,-73.97388000000002,Private room,119,1,0.64,78
18871,Brooklyn,40.61968,-74.00656,Entire home/apt,170,4,1.17,308
25573,Manhattan,40.75967,-73.96786,Entire home/apt,120,30,0.0,159
4947,Manhattan,40.72337,-73.99724,Entire home/apt,195,2,1.18,16
15045,Manhattan,40.76683,-73.96866999999997,Entire home/apt,1046,1,0.54,365
18181,Manhattan,40.8274,-73.95215,Entire home/apt,102,2,1.21,293
16170,Brooklyn,40.69603,-73.92537,Entire home/apt,200,2,2.0,32
25812,Staten Island,40.52293,-74.21238000000002,Entire home/apt,85,2,3.33,66
10335,Queens,40.7322,-73.89944,Entire home/apt,86,2,2.55,149
15212,Manhattan,40.75993,-73.96342,Entire home/apt,140,4,3.03,242
17138,Queens,40.77444000000001,-73.92923,Entire home/apt,156,1,5.16,67
11553,Manhattan,40.71456,-73.99077,Private room,95,14,0.11,28
9844,Bronx,40.8722,-73.87607,Private room,50,3,0.76,342
3741,Manhattan,40.80738,-73.93706999999998,Entire home/apt,75,30,0.12,203
14208,Bronx,40.82251,-73.91125,Private room,60,3,0.0,90
513,Brooklyn,40.71746,-73.95496999999997,Entire home/apt,180,2,1.36,248
5138,Brooklyn,40.67255,-73.93328000000002,Entire home/apt,150,1,0.51,299
28866,Brooklyn,40.66154,-73.99158,Entire home/apt,109,9,0.0,16
2293,Brooklyn,40.68366,-73.95009,Private room,61,1,1.06,314
20518,Queens,40.69238,-73.73646,Private room,65,2,1.49,77
20918,Manhattan,40.73492,-73.99604000000002,Entire home/apt,300,2,0.26,11
3704,Manhattan,40.71995,-73.99975,Private room,120,3,1.21,304
7201,Brooklyn,40.67833,-73.96904,Private room,45,1,4.82,324
14957,Manhattan,40.7652,-73.98174,Entire home/apt,225,30,0.09,343
19229,Brooklyn,40.64423,-73.99686,Private room,60,3,0.81,53
29827,Queens,40.75368,-73.93298,Private room,159,1,0.0,318
17065,Manhattan,40.86866,-73.92472,Private room,149,1,2.2,270
6580,Brooklyn,40.70889,-73.92135,Entire home/apt,99,3,0.23,42
22401,Manhattan,40.7773,-73.97736,Entire home/apt,350,2,1.32,286
28225,Manhattan,40.77101,-73.98940999999998,Entire home/apt,360,2,4.29,94
14325,Bronx,40.83079,-73.8815,Private room,50,2,0.79,283
15627,Brooklyn,40.64726,-73.95936999999998,Entire home/apt,76,14,0.06,41
14345,Brooklyn,40.65503,-73.97774,Entire home/apt,149,2,0.86,1
26474,Brooklyn,40.68569,-73.94465,Private room,50,2,0.9,8
26305,Queens,40.74123,-73.90151999999998,Private room,59,30,0.0,247
6641,Manhattan,40.78613,-73.9732,Entire home/apt,295,30,0.06,332
25393,Manhattan,40.72344,-73.98479,Entire home/apt,250,30,0.0,221
23328,Manhattan,40.71865,-73.99587,Entire home/apt,190,1,8.47,232
17495,Manhattan,40.76519,-73.98939,Shared room,69,1,1.3,212
30032,Manhattan,40.704,-74.00646,Private room,90,24,0.0,362
5240,Manhattan,40.74522,-73.97505,Entire home/apt,145,5,0.38,179
8252,Brooklyn,40.69499,-73.9283,Private room,45,1,6.68,69
18014,Brooklyn,40.66986,-73.98668,Entire home/apt,120,2,1.86,4
25544,Manhattan,40.72589,-74.00015,Private room,119,1,2.44,23
20247,Manhattan,40.76479000000001,-73.98831,Entire home/apt,200,5,0.23,15
20641,Queens,40.7366,-73.92358,Private room,39,30,0.19,252
26388,Manhattan,40.76417,-73.99334,Private room,145,1,4.09,287
8755,Brooklyn,40.68552,-73.9609,Entire home/apt,259,6,0.11,7
11989,Manhattan,40.75017,-73.97686999999998,Entire home/apt,222,30,0.0,180
6625,Manhattan,40.76037,-73.99016,Entire home/apt,240,2,1.68,262
7676,Brooklyn,40.70663,-73.9175,Entire home/apt,100,30,0.81,87
9823,Queens,40.75786,-73.92808000000002,Private room,49,2,3.2,20
16657,Brooklyn,40.67254000000001,-73.91686,Private room,62,2,1.58,172
25405,Manhattan,40.81325,-73.9398,Entire home/apt,150,3,2.31,25
4385,Manhattan,40.79492,-73.94086999999998,Private room,84,4,2.06,8
9127,Brooklyn,40.64697,-73.99885,Private room,50,20,1.34,20
3368,Brooklyn,40.64802,-73.97095,Private room,91,3,0.65,90
26547,Manhattan,40.70808,-74.00561,Entire home/apt,130,29,0.0,338
2208,Brooklyn,40.69383,-73.90836999999998,Entire home/apt,159,3,0.2,77
2426,Brooklyn,40.67769000000001,-73.92303000000003,Private room,37,25,0.24,179
17784,Manhattan,40.7057,-74.00819,Entire home/apt,650,1,0.76,315
16741,Brooklyn,40.72179000000001,-73.9447,Private room,61,1,2.08,1
9972,Manhattan,40.71806,-73.99351,Entire home/apt,250,3,1.42,147
4862,Queens,40.7618,-73.92728000000002,Shared room,55,1,0.55,84
20796,Brooklyn,40.67791,-73.90661999999998,Entire home/apt,150,3,1.85,153
23011,Manhattan,40.71685,-73.99074,Private room,72,1,7.13,15
25476,Queens,40.76255,-73.88019,Shared room,43,1,0.0,153
6439,Brooklyn,40.69587,-73.9453,Private room,55,2,1.72,110
29391,Manhattan,40.72555,-73.98198000000002,Entire home/apt,145,1,3.0,84
9369,Brooklyn,40.6702,-73.9896,Entire home/apt,299,2,1.02,261
9019,Manhattan,40.72752,-73.98969,Entire home/apt,200,30,0.28,96
5981,Manhattan,40.73178,-73.98841999999998,Entire home/apt,250,2,1.07,211
20892,Manhattan,40.72085,-73.98945,Private room,103,3,4.58,99
6092,Manhattan,40.77372,-73.94803,Private room,185,5,0.15,341
9149,Brooklyn,40.71036,-73.95477,Entire home/apt,180,2,3.34,82
7974,Manhattan,40.76306,-73.99257,Entire home/apt,150,30,0.12,332
18179,Manhattan,40.72785,-73.98684,Private room,130,2,1.58,32
707,Manhattan,40.78867,-73.96809,Entire home/apt,179,3,3.37,205
5672,Brooklyn,40.68902,-73.9156,Entire home/apt,85,2,3.6,136
28321,Queens,40.74774,-73.94757,Private room,80,2,0.0,4
5379,Brooklyn,40.64924,-73.96714,Private room,35,4,0.06,157
6563,Brooklyn,40.65822,-73.95439,Private room,36,15,0.49,15
25517,Manhattan,40.73446,-73.9867,Private room,99,2,3.53,13
16111,Bronx,40.87257,-73.9009,Private room,65,1,0.21,364
12151,Brooklyn,40.69297,-73.91788000000003,Entire home/apt,70,2,3.68,142
27775,Brooklyn,40.69316,-73.90741,Private room,37,4,0.0,29
17078,Brooklyn,40.6417,-73.97365,Private room,62,1,8.25,263
8930,Queens,40.73096,-73.84924000000002,Private room,75,2,0.61,157
5646,Manhattan,40.77778,-73.9781,Private room,133,2,3.9,263
9261,Manhattan,40.72541,-73.97638,Entire home/apt,215,1,2.16,245
25144,Brooklyn,40.68797,-73.95439,Private room,75,1,7.5,114
425,Manhattan,40.76311,-73.99388,Private room,99,1,1.0,353
8958,Brooklyn,40.68583,-73.94112,Entire home/apt,83,1,0.43,37
4946,Manhattan,40.76365,-73.98057,Entire home/apt,299,2,0.16,176
832,Brooklyn,40.68699,-73.9635,Private room,70,2,3.88,333
10571,Brooklyn,40.69459000000001,-73.96103000000002,Private room,97,30,0.24,97
7289,Manhattan,40.71287,-73.99573000000002,Entire home/apt,320,4,0.18,142
12658,Brooklyn,40.68296,-73.93052,Entire home/apt,100,3,2.81,128
16488,Queens,40.75558,-73.93643,Private room,75,2,4.93,11
5273,Brooklyn,40.61625,-73.9916,Private room,50,2,1.41,81
6506,Manhattan,40.72788,-73.9869,Entire home/apt,299,1,4.05,91
27590,Manhattan,40.81982,-73.94481,Entire home/apt,93,30,0.0,325
241,Brooklyn,40.67319000000001,-73.97323,Entire home/apt,175,2,0.11,246
16752,Bronx,40.82601,-73.81907,Private room,50,3,1.36,8
20248,Queens,40.76172,-73.92098,Private room,100,3,0.94,364
23561,Queens,40.69102,-73.78438,Private room,65,2,0.75,319
6300,Manhattan,40.84444000000001,-73.9399,Private room,95,2,0.72,170
19332,Brooklyn,40.69694000000001,-73.97493,Entire home/apt,145,30,0.11,177
17007,Manhattan,40.78589,-73.9487,Entire home/apt,250,2,3.11,301
3877,Brooklyn,40.67391,-73.9472,Private room,99,1,1.34,290
28100,Manhattan,40.76401,-73.98051,Private room,365,1,1.0,342
25894,Manhattan,40.81153,-73.96112,Shared room,34,5,0.0,14
14225,Manhattan,40.74819,-73.97641999999998,Entire home/apt,150,2,2.95,26
2600,Queens,40.75874,-73.92999,Private room,100,29,0.57,305
17892,Brooklyn,40.60369,-73.94511,Private room,36,7,0.71,81
21692,Manhattan,40.85079,-73.94108,Entire home/apt,279,5,0.0,55
20135,Manhattan,40.84577,-73.93731,Private room,70,7,1.3,356
10876,Manhattan,40.81335,-73.95616,Shared room,50,1,1.32,23
27284,Bronx,40.87874,-73.84746,Private room,40,1,0.0,89
3945,Brooklyn,40.66025,-73.9627,Entire home/apt,120,3,0.05,16
1750,Manhattan,40.80421,-73.94037,Private room,47,1,0.08,353
2808,Brooklyn,40.64447,-73.99574,Private room,49,1,1.51,120
10675,Manhattan,40.79096,-73.97582,Private room,86,1,1.55,24
28764,Brooklyn,40.66302,-73.86081999999998,Entire home/apt,60,3,1.0,94
3903,Manhattan,40.73947,-74.00114,Entire home/apt,160,30,0.12,267
5661,Brooklyn,40.69411,-73.96151,Private room,90,30,0.66,314
8803,Brooklyn,40.68574,-73.92975,Entire home/apt,118,3,3.21,33
18214,Queens,40.73965,-73.86796,Entire home/apt,60,1,2.0,144
8741,Manhattan,40.81044,-73.94915999999998,Entire home/apt,150,3,0.37,207
9718,Manhattan,40.85797,-73.93285999999998,Entire home/apt,120,4,0.39,42
14400,Manhattan,40.79313,-73.93991,Entire home/apt,108,7,0.16,20
14993,Brooklyn,40.66452,-73.9337,Private room,33,30,0.1,354
20943,Brooklyn,40.68634,-73.95499000000002,Private room,63,2,1.72,321
18042,Bronx,40.83791,-73.85845,Private room,26,1,1.24,311
6100,Manhattan,40.76041,-73.99495999999998,Entire home/apt,450,6,0.44,364
4106,Staten Island,40.64571,-74.07835,Entire home/apt,1000,1,0.0,364
19259,Manhattan,40.75525,-73.99597,Entire home/apt,639,3,0.38,108
4016,Manhattan,40.82257,-73.94543,Entire home/apt,300,5,1.65,288
6383,Brooklyn,40.64517,-73.94843,Shared room,40,30,0.11,365
24844,Manhattan,40.76592,-73.98769,Shared room,75,1,1.38,365
1134,Brooklyn,40.70234,-73.91849,Private room,84,2,1.69,225
19669,Manhattan,40.72615,-74.00325,Entire home/apt,285,4,0.1,7
18785,Manhattan,40.71709,-73.99746,Entire home/apt,180,2,2.0,179
22845,Brooklyn,40.6776,-73.95447,Entire home/apt,350,3,2.0,283
6015,Brooklyn,40.64125,-73.9763,Private room,70,2,2.63,37
6006,Manhattan,40.81243,-73.9392,Entire home/apt,250,1,0.0,89
14529,Brooklyn,40.70247,-73.91793,Private room,60,4,0.83,42
8023,Manhattan,40.78434,-73.97867,Entire home/apt,200,2,4.02,51
25666,Manhattan,40.76167,-73.96944,Entire home/apt,149,2,2.63,163
9126,Manhattan,40.85867,-73.92844000000002,Entire home/apt,150,2,1.61,83
19151,Brooklyn,40.70777,-73.92115,Private room,59,1,3.14,28
20203,Brooklyn,40.58001,-73.96266,Entire home/apt,80,1,5.71,303
5852,Manhattan,40.77098,-73.95965,Entire home/apt,150,2,0.11,157
25448,Manhattan,40.70598,-74.00804000000002,Private room,150,4,0.62,90
26670,Manhattan,40.76183,-73.99280999999998,Private room,95,3,4.58,94
9865,Brooklyn,40.71322,-73.9648,Entire home/apt,408,3,2.68,267
17979,Manhattan,40.75524,-73.99361999999998,Entire home/apt,99,1,2.9,1
14368,Brooklyn,40.68597000000001,-73.95983000000003,Entire home/apt,125,25,0.0,172
2570,Manhattan,40.78881,-73.98116,Entire home/apt,200,6,0.06,364
804,Manhattan,40.83451,-73.93885,Entire home/apt,275,3,0.87,277
10332,Manhattan,40.782,-73.95143,Private room,200,2,0.09,90
17816,Brooklyn,40.68546,-73.94574,Private room,40,14,0.26,256
19793,Manhattan,40.74653,-73.98481,Entire home/apt,209,29,0.0,250
26153,Brooklyn,40.65799000000001,-73.91595,Private room,57,4,2.84,35
18684,Brooklyn,40.71939,-73.96056,Entire home/apt,600,2,2.2,328
9782,Manhattan,40.76115,-73.99823,Entire home/apt,499,30,0.0,146
15661,Manhattan,40.77603,-73.95573,Private room,99,3,2.22,162
11190,Queens,40.59692,-73.7602,Private room,35,1,1.52,124
2186,Manhattan,40.79053,-73.94398000000002,Private room,90,3,2.38,293
5334,Brooklyn,40.68552,-73.93581,Entire home/apt,110,4,0.31,97
12159,Brooklyn,40.65969000000001,-73.99248,Entire home/apt,265,2,0.79,41
12033,Queens,40.65219,-73.73729,Private room,49,2,2.36,65
484,Manhattan,40.80486,-73.95298000000003,Private room,69,1,0.63,86
28646,Brooklyn,40.69698,-73.97412,Private room,48,30,0.0,340
3779,Brooklyn,40.65337,-73.97483000000003,Entire home/apt,170,4,0.77,275
27401,Queens,40.76268,-73.82252,Private room,99,1,5.77,365
23287,Queens,40.66818,-73.73399,Entire home/apt,60,1,5.45,282
6953,Manhattan,40.78469000000001,-73.9738,Entire home/apt,330,2,2.78,258
24728,Queens,40.75157,-73.87639,Private room,45,2,1.54,66
13492,Brooklyn,40.69954,-73.93579,Private room,60,5,0.27,13
27004,Manhattan,40.72709,-73.98581999999998,Entire home/apt,150,1,4.9,15
12000,Manhattan,40.81800000000001,-73.94134,Private room,60,2,2.26,170
17767,Staten Island,40.63701,-74.07624,Private room,50,1,1.81,363
4064,Manhattan,40.86335,-73.92822,Entire home/apt,90,7,0.15,249
27563,Brooklyn,40.71359,-73.94875,Entire home/apt,203,3,3.53,254
6402,Manhattan,40.77029,-73.95812,Entire home/apt,110,3,1.78,5
6968,Queens,40.74071,-73.86498,Private room,36,16,1.43,110
11403,Staten Island,40.59347,-74.06914,Entire home/apt,122,1,2.0,219
20113,Manhattan,40.7656,-73.98,Private room,450,3,0.0,339
7835,Queens,40.57941,-73.84844,Private room,225,1,0.92,364
15284,Manhattan,40.71082,-74.0176,Private room,94,1,3.68,6
30387,Brooklyn,40.67764,-73.94991,Private room,45,1,0.0,176
22285,Brooklyn,40.71894,-73.96186999999998,Private room,90,3,0.6,11
6677,Manhattan,40.76941,-73.98161999999998,Entire home/apt,180,30,0.02,280
17832,Brooklyn,40.67953,-73.97303000000002,Entire home/apt,449,3,2.82,329
21725,Manhattan,40.76093,-73.99924,Entire home/apt,499,30,0.0,333
9298,Manhattan,40.80901,-73.95267,Private room,399,3,0.0,362
23669,Queens,40.7386,-73.79248,Private room,80,1,7.6,29
28671,Manhattan,40.76801,-73.96896,Entire home/apt,140,2,2.0,105
13130,Queens,40.66778,-73.85345,Private room,89,1,5.0,317
2145,Manhattan,40.83942,-73.93855,Private room,79,5,1.59,1
30553,Bronx,40.83926,-73.91173,Private room,140,1,0.0,90
9394,Manhattan,40.7608,-73.96136,Entire home/apt,175,30,0.0,365
20213,Bronx,40.80958,-73.91895,Private room,120,1,3.15,312
12871,Brooklyn,40.69262,-73.95014,Entire home/apt,120,2,0.25,2
12020,Bronx,40.88702,-73.86575,Private room,60,1,1.57,360
9270,Staten Island,40.63014,-74.17459000000002,Entire home/apt,100,4,0.57,363
16601,Queens,40.75906,-73.87771,Private room,78,1,0.41,363
6026,Manhattan,40.82137,-73.94769000000002,Private room,70,2,1.48,188
27330,Manhattan,40.74674,-73.98735,Private room,100,1,3.0,269
9990,Manhattan,40.80832,-73.93889,Entire home/apt,200,3,2.12,152
6344,Brooklyn,40.68587,-73.91435,Private room,55,1,0.19,365
24739,Manhattan,40.78812,-73.97091,Private room,175,2,0.0,66
13410,Manhattan,40.71798,-73.98418000000002,Entire home/apt,275,2,0.76,171
21218,Manhattan,40.74563,-73.98342,Entire home/apt,300,1,1.92,5
3105,Brooklyn,40.67391,-73.96739000000002,Entire home/apt,105,21,0.08,221
21043,Manhattan,40.80528,-73.95928,Entire home/apt,150,20,0.0,33
5468,Manhattan,40.74138,-73.98814,Entire home/apt,299,28,3.39,315
19788,Queens,40.74056,-73.86446,Shared room,25,2,1.77,330
6839,Brooklyn,40.71761,-73.95423000000002,Entire home/apt,325,3,1.73,179
3895,Manhattan,40.72627,-73.98915,Private room,110,3,1.26,14
25404,Manhattan,40.8026,-73.95829,Entire home/apt,182,2,5.0,19
5205,Brooklyn,40.66564,-73.98465,Entire home/apt,145,3,3.69,277
6115,Manhattan,40.85432,-73.93198000000002,Entire home/apt,235,1,0.64,364
16476,Brooklyn,40.7102,-73.96222,Private room,91,2,4.54,337
8423,Manhattan,40.8449,-73.94034,Private room,85,3,0.3,362
6452,Brooklyn,40.68523,-73.92926,Private room,49,1,3.05,200
17977,Brooklyn,40.66291,-73.995,Entire home/apt,330,1,2.83,147
9530,Manhattan,40.75735,-73.96438,Entire home/apt,198,2,0.64,8
3693,Queens,40.75977,-73.92904,Private room,76,1,0.41,225
4884,Manhattan,40.73235,-73.98646,Entire home/apt,499,30,0.52,332
13831,Brooklyn,40.68191,-73.92064,Private room,50,3,3.97,346
11663,Brooklyn,40.63256,-73.94757,Private room,55,4,0.35,364
22118,Manhattan,40.78191,-73.95291999999998,Entire home/apt,275,3,1.78,36
30357,Brooklyn,40.60146,-73.94673,Private room,40,2,0.0,89
20922,Brooklyn,40.64376,-73.90833,Private room,68,2,0.47,365
2539,Manhattan,40.72247,-73.97923,Entire home/apt,299,28,1.37,14
18612,Brooklyn,40.71918,-73.95735,Private room,87,30,0.0,310
1363,Manhattan,40.7349,-73.98549,Entire home/apt,130,3,0.41,23
3960,Brooklyn,40.68499,-73.97403,Entire home/apt,239,3,0.33,257
24978,Queens,40.7718,-73.91942,Private room,62,2,4.53,313
15052,Brooklyn,40.58486,-73.99004000000002,Entire home/apt,59,2,2.33,35
14049,Queens,40.70475,-73.81572,Private room,165,1,0.09,355
2178,Brooklyn,40.71084000000001,-73.94861,Entire home/apt,99,2,2.85,106
4380,Manhattan,40.79967,-73.95444,Private room,95,3,1.38,117
3036,Brooklyn,40.64661,-73.95999,Entire home/apt,100,6,0.11,202
10676,Manhattan,40.7151,-73.98661,Entire home/apt,180,3,1.58,1
22714,Manhattan,40.76356,-73.98956,Entire home/apt,230,1,4.21,282
21342,Manhattan,40.74687,-73.98836,Entire home/apt,220,2,1.48,315
12835,Brooklyn,40.64712,-73.99646,Private room,48,5,0.19,214
12496,Brooklyn,40.67392,-73.88892,Entire home/apt,81,3,1.82,356
19346,Queens,40.75487,-73.93105,Private room,55,1,2.16,281
4825,Manhattan,40.73182,-73.9845,Private room,195,5,0.37,178
13380,Brooklyn,40.68303,-73.95430999999998,Entire home/apt,130,3,2.63,295
2194,Queens,40.72509,-73.89686999999998,Entire home/apt,200,4,0.38,157
26787,Brooklyn,40.68063,-73.91375,Private room,50,2,0.45,361
29229,Queens,40.74639000000001,-73.9435,Private room,149,2,0.0,23
26717,Manhattan,40.80885,-73.95022,Private room,98,1,0.94,1
19213,Brooklyn,40.69425,-73.95668,Shared room,36,1,1.45,365
21300,Manhattan,40.72863,-74.00125,Private room,43,5,0.39,5
3120,Bronx,40.88075,-73.84845,Entire home/apt,95,3,0.96,358
21169,Manhattan,40.76219,-73.97646,Private room,913,2,0.0,143
16484,Manhattan,40.72709,-73.99074,Entire home/apt,545,2,1.0,177
11646,Manhattan,40.76476,-73.99453000000003,Entire home/apt,115,30,0.12,326
7402,Brooklyn,40.69458,-73.96757,Entire home/apt,175,1,1.45,331
30264,Manhattan,40.75906,-73.99049000000002,Entire home/apt,300,5,0.0,83
10219,Queens,40.76092,-73.82194,Entire home/apt,143,30,0.22,7
22969,Manhattan,40.76807,-73.98508000000002,Entire home/apt,365,2,3.37,28
1504,Brooklyn,40.71579000000001,-73.9588,Entire home/apt,220,4,0.3,8
17296,Brooklyn,40.71777,-73.95824,Private room,100,1,1.36,33
11044,Manhattan,40.77058,-73.95358,Entire home/apt,160,1,2.33,19
28263,Bronx,40.86871,-73.8474,Private room,40,2,0.0,90
606,Manhattan,40.73388,-73.99452,Entire home/apt,150,2,2.22,300
27584,Brooklyn,40.69474,-73.94963,Private room,50,4,0.0,9
21835,Manhattan,40.7287,-74.00327,Entire home/apt,397,30,0.0,53
6008,Manhattan,40.85369,-73.93186999999998,Private room,68,3,0.2,160
8937,Queens,40.74379,-73.91277,Private room,90,1,0.03,173
4213,Manhattan,40.78825,-73.94861,Private room,52,3,3.39,49
17985,Queens,40.72959,-73.89381,Private room,35,30,0.0,179
1725,Brooklyn,40.64024000000001,-73.96976,Entire home/apt,300,5,0.02,15
28020,Manhattan,40.78373,-73.97182,Entire home/apt,339,3,4.0,304
