,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
34181,Brooklyn,40.71326,-73.9644,Entire home/apt,175,5,5,0.46,1,198
29606,Brooklyn,40.729040000000005,-73.94885,Private room,50,5,1,0.06,1,0
18011,Manhattan,40.74767,-73.99003,Private room,90,1,9,0.28,1,0
18449,Manhattan,40.83885,-73.94161,Entire home/apt,160,3,12,0.36,3,5
22712,Brooklyn,40.68435,-73.94135,Entire home/apt,150,3,40,1.6,3,170
19490,Brooklyn,40.68908,-73.9678,Private room,65,2,18,0.55,1,0
22883,Manhattan,40.73107,-74.00163,Entire home/apt,175,4,1,0.04,1,0
25253,Manhattan,40.74947,-73.9761,Entire home/apt,175,30,3,0.21,50,342
25990,Manhattan,40.84962,-73.94011,Private room,60,1,11,0.49,1,0
5279,Queens,40.74219,-73.92585,Private room,50,5,6,1.41,1,54
44174,Manhattan,40.70649,-74.01217,Entire home/apt,244,2,2,0.83,327,260
2250,Manhattan,40.75783,-73.96383,Entire home/apt,145,2,146,1.94,1,148
12881,Manhattan,40.8226,-73.95468000000001,Private room,48,30,100,2.31,2,183
26415,Brooklyn,40.709109999999995,-73.95288000000001,Private room,76,2,79,4.56,1,349
47106,Manhattan,40.82593,-73.95075,Entire home/apt,144,30,1,1.0,2,223
4640,Brooklyn,40.66592,-73.99434000000001,Entire home/apt,158,30,1,0.14,21,365
37460,Brooklyn,40.68269,-73.94712,Private room,45,2,23,3.61,1,50
1750,Manhattan,40.76553,-73.96262,Entire home/apt,150,2,4,0.06,1,0
30277,Manhattan,40.80405,-73.96375,Private room,67,3,7,0.43,1,0
31739,Manhattan,40.85197,-73.93308,Private room,59,2,15,1.06,1,98
25227,Manhattan,40.76149,-73.97536,Entire home/apt,200,30,5,0.26,4,280
33961,Brooklyn,40.68489,-73.95096,Entire home/apt,108,2,19,1.67,1,0
18297,Manhattan,40.7294,-73.97751,Private room,60,2,2,0.06,1,0
9896,Manhattan,40.72118,-73.99575,Entire home/apt,300,4,4,0.09,1,89
15090,Queens,40.707640000000005,-73.83116,Entire home/apt,219,9,2,0.22,4,273
21018,Manhattan,40.76636,-73.98574,Private room,100,1,1,0.46,1,156
19148,Manhattan,40.82377,-73.94981,Private room,65,4,42,1.34,1,10
25527,Queens,40.74967,-73.86310999999999,Shared room,45,1,16,0.7,6,365
33950,Manhattan,40.72696,-73.9811,Entire home/apt,300,3,6,0.94,1,0
1059,Brooklyn,40.68813,-73.92817,Entire home/apt,189,7,7,0.1,2,303
14120,Brooklyn,40.7054,-73.94283,Private room,80,2,5,0.15,2,0
34793,Manhattan,40.76228,-73.99025999999999,Entire home/apt,195,2,53,4.86,1,150
27648,Brooklyn,40.700340000000004,-73.9284,Private room,75,7,100,4.97,3,25
28867,Manhattan,40.76405,-73.98877,Entire home/apt,329,7,1,0.06,3,89
46681,Queens,40.77069,-73.91977,Entire home/apt,125,2,5,5.0,1,24
27612,Manhattan,40.76401,-73.95823,Entire home/apt,138,7,1,0.05,1,0
5933,Brooklyn,40.6989,-73.92904,Entire home/apt,200,90,91,1.59,1,365
36703,Manhattan,40.762190000000004,-73.99493000000001,Shared room,69,1,30,3.4,2,335
19677,Manhattan,40.76395,-73.96195999999999,Entire home/apt,270,1,3,0.1,1,0
17862,Brooklyn,40.699740000000006,-73.9338,Entire home/apt,185,2,169,4.77,1,26
16286,Manhattan,40.74589,-74.0048,Entire home/apt,250,4,18,0.49,1,0
40182,Brooklyn,40.714620000000004,-73.95278,Entire home/apt,180,3,2,0.41,2,24
11725,Manhattan,40.78627,-73.97112,Entire home/apt,199,28,17,0.63,1,114
24783,Manhattan,40.8445,-73.9404,Private room,99,2,20,0.89,1,24
4518,Manhattan,40.782759999999996,-73.95299,Entire home/apt,250,5,22,0.36,1,7
9441,Brooklyn,40.69158,-73.96699,Private room,65,2,6,0.12,1,0
48362,Manhattan,40.7603,-73.96225,Entire home/apt,120,1,1,1.0,1,1
8787,Manhattan,40.73742,-74.00171,Entire home/apt,199,2,14,0.29,1,0
22700,Manhattan,40.769890000000004,-73.98229,Entire home/apt,220,30,4,0.16,1,124
117,Manhattan,40.77823,-73.97636999999999,Entire home/apt,235,6,27,0.27,1,199
32689,Brooklyn,40.64707,-73.95074,Entire home/apt,140,2,64,4.96,1,220
10038,Manhattan,40.71382,-73.99769,Private room,75,6,2,0.05,1,0
23291,Queens,40.70515,-73.8945,Entire home/apt,99,4,62,2.41,1,81
16189,Brooklyn,40.68122,-73.90399000000001,Private room,42,6,12,0.96,2,207
42894,Brooklyn,40.71699,-73.96167,Entire home/apt,214,3,6,1.94,1,32
1456,Manhattan,40.76758,-73.98722,Entire home/apt,85,30,2,0.04,52,223
4273,Brooklyn,40.7254,-73.94136,Entire home/apt,129,30,3,0.05,52,336
19370,Brooklyn,40.7146,-73.96321,Private room,90,1,1,0.03,5,0
24707,Brooklyn,40.64584,-73.97711,Entire home/apt,89,3,57,2.38,3,0
25439,Manhattan,40.804190000000006,-73.94792,Shared room,65,1,1,0.16,1,365
41945,Bronx,40.80924,-73.85106999999999,Entire home/apt,95,2,27,8.62,1,153
19794,Manhattan,40.73317,-73.99813,Entire home/apt,295,365,15,0.49,1,0
33666,Brooklyn,40.71674,-73.95825,Private room,75,3,2,0.19,1,0
27584,Brooklyn,40.6903,-73.96883000000001,Private room,188,7,1,0.05,1,83
20026,Manhattan,40.720079999999996,-73.98865,Private room,109,1,3,0.18,3,0
24691,Manhattan,40.821690000000004,-73.94077,Private room,69,1,14,0.72,1,0
37805,Manhattan,40.82528,-73.95313,Private room,215,2,3,0.42,3,91
47525,Brooklyn,40.63704,-73.96693,Entire home/apt,130,3,2,2.0,1,33
20778,Manhattan,40.75993,-73.97054,Entire home/apt,145,1,51,1.69,1,0
25449,Manhattan,40.80041,-73.95401,Private room,70,1,68,2.97,1,330
29678,Brooklyn,40.674040000000005,-73.96395,Private room,69,4,16,0.95,1,300
28260,Manhattan,40.75172,-73.99784,Entire home/apt,225,2,38,2.0,2,257
2599,Manhattan,40.76178,-73.96713000000001,Entire home/apt,280,2,7,0.11,1,365
30285,Manhattan,40.81862,-73.95565,Private room,60,2,5,0.31,1,0
11721,Manhattan,40.7606,-73.97180999999999,Private room,86,1,3,0.07,1,0
7035,Brooklyn,40.71301,-73.95374,Private room,96,1,175,3.27,4,44
28076,Brooklyn,40.68537,-73.95894,Entire home/apt,100,28,2,0.11,1,177
7540,Manhattan,40.77618,-73.95626999999999,Private room,195,5,56,1.1,4,145
11407,Manhattan,40.755559999999996,-73.96817,Entire home/apt,150,1,3,0.07,1,0
31079,Queens,40.59746,-73.79688,Entire home/apt,190,3,21,1.49,1,327
40218,Brooklyn,40.68475,-73.90918,Entire home/apt,60,2,3,0.47,3,153
43214,Brooklyn,40.671440000000004,-73.92496,Entire home/apt,90,3,3,1.18,1,7
15620,Manhattan,40.824709999999996,-73.94332,Private room,70,4,27,0.75,2,156
17154,Brooklyn,40.6789,-73.96242,Entire home/apt,189,4,15,0.41,1,15
14937,Brooklyn,40.68125,-73.97974,Entire home/apt,159,3,3,0.08,1,0
15938,Manhattan,40.73924,-73.99825,Entire home/apt,150,2,4,0.11,1,0
33375,Manhattan,40.75825,-73.98982,Private room,125,1,54,4.34,1,341
33064,Manhattan,40.73157,-74.00480999999999,Private room,90,2,1,0.08,2,0
35321,Brooklyn,40.67856,-73.94483000000001,Private room,55,2,11,1.15,1,4
29018,Brooklyn,40.66057,-73.94373,Entire home/apt,129,2,3,0.16,1,0
10827,Manhattan,40.82323,-73.95494000000001,Private room,55,2,84,1.82,4,72
44907,Brooklyn,40.69295,-73.94386999999999,Private room,45,1,3,1.58,2,0
24768,Brooklyn,40.67719,-73.93205,Entire home/apt,200,2,51,2.15,1,127
17784,Queens,40.72143,-73.85521999999999,Entire home/apt,99,1,143,3.96,1,282
34779,Queens,40.7488,-73.90361999999999,Private room,86,1,12,1.28,1,0
45972,Brooklyn,40.70838,-73.95366,Entire home/apt,123,2,2,2.0,1,1
17148,Brooklyn,40.70648,-73.92997,Private room,65,4,47,1.28,2,249
22340,Manhattan,40.72054,-73.98470999999999,Entire home/apt,208,3,4,0.15,1,0
31612,Manhattan,40.71313,-74.00681,Private room,90,2,3,0.21,1,0
21967,Brooklyn,40.6781,-73.90822,Entire home/apt,100,2,50,3.12,2,235
28919,Manhattan,40.74197,-73.98328000000001,Entire home/apt,199,30,1,0.08,4,177
20297,Manhattan,40.77585,-73.95754000000001,Private room,132,1,14,0.51,3,326
9055,Manhattan,40.79421,-73.97097,Private room,89,3,1,0.02,2,0
45611,Brooklyn,40.66288,-73.95277,Entire home/apt,90,2,4,2.73,1,73
22130,Manhattan,40.70552,-74.00941,Entire home/apt,110,7,32,1.17,1,272
11679,Manhattan,40.72558,-74.00195,Private room,145,2,1,0.02,1,0
1717,Brooklyn,40.64047,-73.96388,Entire home/apt,150,5,52,0.65,1,311
8669,Manhattan,40.73608,-74.00039,Entire home/apt,300,1,7,0.14,1,0
22429,Brooklyn,40.6919,-73.94487,Private room,125,1,60,2.21,3,90
25972,Manhattan,40.80227,-73.9579,Private room,90,3,55,2.52,1,66
14004,Manhattan,40.81535,-73.95862,Entire home/apt,150,31,15,0.36,1,0
17935,Brooklyn,40.64775,-74.00858000000001,Private room,41,3,2,0.06,1,0
18226,Brooklyn,40.66847,-73.98893000000001,Entire home/apt,120,4,139,3.98,3,136
22124,Brooklyn,40.6427,-73.91266,Private room,69,1,20,0.78,4,305
28081,Manhattan,40.71601,-73.99171,Entire home/apt,130,4,2,0.1,1,0
10969,Manhattan,40.73983,-74.00102,Entire home/apt,275,7,6,0.14,1,0
1552,Brooklyn,40.67507,-73.98093,Entire home/apt,150,3,76,0.98,1,266
13043,Manhattan,40.76665,-73.98281,Entire home/apt,190,30,1,0.04,121,286
16692,Brooklyn,40.636720000000004,-73.91154,Entire home/apt,120,2,193,5.14,1,254
40428,Manhattan,40.79575,-73.9496,Private room,101,3,10,1.89,6,62
25837,Brooklyn,40.64931,-73.9733,Entire home/apt,85,3,12,0.53,1,5
42337,Queens,40.76235,-73.92138,Entire home/apt,140,2,16,4.21,2,79
21286,Queens,40.76964,-73.91559000000001,Private room,44,1,14,0.5,1,0
42374,Brooklyn,40.68258,-73.87731,Private room,50,7,1,0.52,2,365
42926,Manhattan,40.81749,-73.93875,Private room,75,1,13,5.27,1,74
32939,Manhattan,40.82567,-73.95260999999999,Private room,70,1,1,0.08,1,0
8468,Manhattan,40.793240000000004,-73.97489,Entire home/apt,140,1,2,0.04,1,0
32308,Brooklyn,40.71477,-73.96145,Entire home/apt,250,2,24,1.83,1,0
7988,Manhattan,40.73065,-73.98899,Shared room,77,2,57,1.13,3,311
44056,Bronx,40.8716,-73.89177,Entire home/apt,92,2,9,4.82,1,48
23409,Brooklyn,40.671,-73.94703,Entire home/apt,200,1,105,4.57,2,274
29538,Manhattan,40.77685,-73.9537,Private room,90,2,12,0.79,1,2
18844,Manhattan,40.80171,-73.95871,Private room,60,7,4,0.12,2,0
5913,Manhattan,40.72627,-73.98915,Private room,110,3,64,1.26,1,14
33606,Brooklyn,40.65829,-73.95170999999999,Private room,50,20,3,0.25,1,0
32968,Manhattan,40.858109999999996,-73.92921,Entire home/apt,90,5,5,0.44,1,18
35134,Manhattan,40.748129999999996,-74.00478000000001,Private room,300,2,4,0.45,1,0
24431,Queens,40.70915,-73.80662,Private room,45,1,14,0.58,6,0
35427,Queens,40.74691,-73.89193,Private room,86,2,3,0.29,1,88
36612,Brooklyn,40.63905,-73.95045999999999,Entire home/apt,120,3,23,2.79,2,121
23922,Manhattan,40.81454,-73.96101999999999,Private room,60,2,4,0.24,1,0
47000,Queens,40.69158,-73.86578,Private room,50,1,6,6.0,8,273
42441,Brooklyn,40.69444,-73.9669,Entire home/apt,115,2,4,1.29,1,46
25488,Bronx,40.83243,-73.88608,Private room,55,2,60,2.59,4,171
37935,Manhattan,40.75625,-73.99678,Private room,107,1,19,2.5,30,156
36105,Brooklyn,40.62515,-73.94409,Entire home/apt,85,1,21,2.26,1,82
15461,Brooklyn,40.675290000000004,-73.93670999999999,Private room,66,1,1,0.03,1,0
2671,Manhattan,40.72418,-73.98283,Private room,95,14,172,2.39,1,14
16556,Brooklyn,40.66537,-73.98559,Entire home/apt,150,3,6,0.17,1,1
21067,Brooklyn,40.64836,-73.94547,Private room,42,13,22,0.75,3,267
21161,Manhattan,40.80055,-73.94100999999999,Private room,88,1,99,3.31,2,112
7685,Brooklyn,40.671690000000005,-73.95116999999999,Entire home/apt,85,2,14,0.28,2,0
24088,Brooklyn,40.69232,-73.93446,Private room,70,2,3,0.12,2,0
33095,Queens,40.69608,-73.8286,Entire home/apt,249,2,15,1.28,2,360
36303,Manhattan,40.828340000000004,-73.94298,Entire home/apt,75,5,2,0.27,1,0
20342,Brooklyn,40.72253,-73.9435,Private room,60,7,6,0.2,1,62
20500,Brooklyn,40.65868,-73.94991999999999,Entire home/apt,200,2,46,1.5,1,234
1077,Brooklyn,40.72183,-73.94908000000001,Entire home/apt,260,2,7,0.09,1,0
5735,Brooklyn,40.675990000000006,-73.93995,Private room,77,5,108,2.14,5,129
23087,Manhattan,40.85115,-73.93703000000001,Private room,80,4,4,0.15,1,0
3184,Brooklyn,40.71863,-73.94575,Private room,70,3,30,0.6,1,364
17060,Brooklyn,40.69849,-73.923,Private room,75,2,170,4.58,1,37
31611,Queens,40.773759999999996,-73.90484000000001,Private room,80,2,17,1.36,1,24
19451,Brooklyn,40.68707,-73.94436999999999,Private room,50,2,3,0.09,1,0
43822,Queens,40.74895,-73.9474,Entire home/apt,199,2,6,2.81,2,175
5029,Brooklyn,40.63981,-73.95711999999999,Entire home/apt,80,2,103,1.7,1,0
4350,Manhattan,40.75293,-73.97173000000001,Private room,110,14,9,0.14,1,21
43065,Manhattan,40.73587,-74.0043,Private room,70,2,3,1.22,2,128
22505,Brooklyn,40.65704,-73.96086,Private room,60,5,15,0.64,2,41
28458,Brooklyn,40.70683,-73.93312,Private room,51,2,2,0.1,1,0
14940,Brooklyn,40.65146,-73.93966,Entire home/apt,135,1,193,4.87,4,270
33398,Queens,40.75192,-73.94074,Entire home/apt,125,2,6,0.7,1,0
5852,Brooklyn,40.73527,-73.95398,Entire home/apt,145,2,7,0.13,2,0
43988,Queens,40.69927,-73.82643,Private room,150,1,1,0.4,1,0
27106,Manhattan,40.76457,-73.99082,Private room,119,1,52,2.5,3,159
19813,Brooklyn,40.71368,-73.94236,Private room,89,5,26,0.8,3,0
3939,Manhattan,40.82349,-73.94193,Private room,80,3,3,0.05,2,178
15871,Brooklyn,40.71154,-73.95795,Entire home/apt,99,5,1,0.07,1,0
31312,Manhattan,40.80324,-73.96816,Private room,65,30,1,1.0,4,211
21095,Brooklyn,40.65552,-73.97493,Entire home/apt,98,1,122,4.13,1,127
34324,Manhattan,40.742979999999996,-73.97448,Entire home/apt,110,1,42,3.73,1,8
10238,Brooklyn,40.695879999999995,-73.93944,Entire home/apt,105,30,5,0.11,1,363
15967,Manhattan,40.783970000000004,-73.97063,Entire home/apt,90,8,1,0.03,1,0
44189,Brooklyn,40.57647,-73.96696,Entire home/apt,275,2,1,1.0,2,56
5855,Manhattan,40.767509999999994,-73.96309000000001,Entire home/apt,300,4,57,1.08,1,0
23914,Manhattan,40.73697,-74.00223000000001,Entire home/apt,152,2,29,1.17,1,0
29479,Brooklyn,40.729490000000006,-73.95801999999999,Private room,45,1,1,0.06,1,0
10802,Brooklyn,40.67173,-73.98303,Entire home/apt,300,3,70,1.51,1,338
6697,Manhattan,40.80123,-73.96248,Entire home/apt,129,10,29,0.54,1,0
10847,Brooklyn,40.71111,-73.95141,Entire home/apt,200,10,27,0.59,1,280
14703,Manhattan,40.74053,-73.97906,Entire home/apt,133,30,7,0.2,91,312
32803,Queens,40.67651,-73.84815,Entire home/apt,60,1,32,2.64,4,155
40991,Bronx,40.86566,-73.88748000000001,Private room,65,2,6,1.18,3,77
4668,Brooklyn,40.71314,-73.96719,Entire home/apt,245,3,18,0.3,1,0
10322,Brooklyn,40.71544,-73.96211,Private room,60,2,99,2.1,8,100
37989,Manhattan,40.72122,-73.98652,Private room,85,4,2,0.28,1,0
20243,Brooklyn,40.70729,-73.93129,Entire home/apt,175,2,44,1.43,1,3
18579,Manhattan,40.82626,-73.93831,Private room,175,3,37,1.06,1,19
38592,Queens,40.66272,-73.76849,Entire home/apt,89,1,88,12.05,2,253
40065,Brooklyn,40.689659999999996,-73.92945999999999,Private room,65,3,5,0.95,4,161
33263,Manhattan,40.71778,-73.99801,Private room,91,3,35,2.84,1,0
7578,Manhattan,40.85494,-73.93179,Private room,75,1,155,4.42,1,314
11764,Brooklyn,40.67143,-73.97538,Private room,125,5,26,0.59,2,292
22858,Queens,40.75558,-73.90534,Private room,45,2,30,1.23,2,242
43916,Queens,40.767520000000005,-73.91433,Entire home/apt,250,3,13,5.49,1,76
24731,Brooklyn,40.7139,-73.9486,Private room,80,5,1,0.04,1,0
36733,Brooklyn,40.7126,-73.93982,Private room,44,30,1,1.0,1,84
34960,Brooklyn,40.63895,-74.02599000000001,Entire home/apt,136,2,24,2.26,1,130
45450,Bronx,40.828309999999995,-73.88746,Private room,80,1,3,3.0,2,89
9894,Brooklyn,40.71405,-73.94129000000001,Private room,60,1,1,0.02,2,0
1573,Queens,40.74746,-73.89712,Entire home/apt,120,3,51,1.52,3,253
26594,Manhattan,40.77112,-73.96226,Entire home/apt,239,7,70,3.76,1,185
20267,Brooklyn,40.707809999999995,-73.93926,Private room,58,1,1,0.03,1,0
21284,Brooklyn,40.71218,-73.96048,Entire home/apt,220,3,8,0.3,1,0
33891,Brooklyn,40.580220000000004,-73.9558,Entire home/apt,75,2,48,4.02,1,169
42924,Bronx,40.80771,-73.85204,Private room,46,2,3,1.13,1,179
8807,Queens,40.757059999999996,-73.91834,Private room,70,1,7,0.15,1,325
16576,Manhattan,40.81627,-73.93512,Private room,110,2,9,0.26,4,280
16326,Bronx,40.88493,-73.8618,Entire home/apt,67,3,205,5.39,1,140
7920,Queens,40.766020000000005,-73.91741999999999,Shared room,75,5,4,0.08,1,0
13305,Bronx,40.852920000000005,-73.91683,Private room,51,2,36,0.96,1,364
26696,Queens,40.70278,-73.90229000000001,Private room,55,1,37,2.58,1,75
23346,Bronx,40.86707,-73.90711999999999,Private room,55,5,3,0.12,2,364
16485,Manhattan,40.72315,-73.99507,Entire home/apt,129,2,6,0.28,1,0
33545,Queens,40.70985,-73.78429,Private room,50,2,4,0.34,7,0
29111,Manhattan,40.862320000000004,-73.93004,Entire home/apt,90,4,18,0.98,1,0
5465,Brooklyn,40.65527,-73.97853,Entire home/apt,138,5,1,0.1,1,0
27715,Brooklyn,40.64676,-73.94819,Entire home/apt,100,3,41,2.07,1,0
33354,Brooklyn,40.7197,-73.95745,Entire home/apt,209,3,3,0.24,1,0
28645,Brooklyn,40.640609999999995,-73.99631,Private room,56,1,12,0.81,4,321
17972,Manhattan,40.767379999999996,-73.98743,Private room,61,30,3,0.1,4,180
45892,Brooklyn,40.7149,-73.94585,Entire home/apt,295,2,2,2.0,3,298
24650,Brooklyn,40.688159999999996,-73.97579,Entire home/apt,100,14,5,0.21,1,0
39725,Manhattan,40.765679999999996,-73.9876,Private room,100,1,35,5.59,1,82
41308,Queens,40.74685,-73.88626,Entire home/apt,70,1,8,1.73,1,141
39079,Manhattan,40.75611,-73.99386,Entire home/apt,130,4,2,0.52,2,0
3285,Brooklyn,40.68528,-73.87819,Entire home/apt,80,3,225,3.49,2,250
41052,Manhattan,40.72742,-73.98235,Private room,90,5,1,0.28,1,0
6799,Manhattan,40.78335,-73.94821999999999,Entire home/apt,130,1,2,0.09,1,0
31039,Manhattan,40.846340000000005,-73.93861,Entire home/apt,275,2,7,0.52,2,0
24384,Manhattan,40.77561,-73.95213000000001,Entire home/apt,200,4,10,0.43,1,0
31618,Brooklyn,40.70133,-73.92074000000001,Private room,115,3,45,3.14,1,75
37722,Brooklyn,40.72084,-73.9554,Entire home/apt,295,2,4,0.58,1,0
14344,Manhattan,40.767920000000004,-73.96724,Entire home/apt,154,30,8,0.22,12,18
33386,Brooklyn,40.66154,-73.98283,Entire home/apt,210,2,35,3.11,1,190
35564,Brooklyn,40.68183,-73.95045999999999,Entire home/apt,99,2,3,0.32,1,3
11337,Brooklyn,40.696090000000005,-73.92369000000001,Entire home/apt,73,45,3,0.07,1,21
25931,Brooklyn,40.71702,-73.95732,Private room,75,2,1,0.05,1,0
1154,Brooklyn,40.67369,-73.96589,Private room,102,2,121,1.6,1,361
37447,Brooklyn,40.64376,-73.90833,Private room,68,2,3,0.47,3,365
35829,Queens,40.73894,-73.92288,Private room,65,2,26,2.8,6,355
13340,Manhattan,40.75221,-73.97157,Entire home/apt,101,2,1,0.02,1,0
40298,Queens,40.76976,-73.92627,Private room,50,2,18,5.14,1,24
8798,Brooklyn,40.67837,-73.95517,Entire home/apt,150,3,208,4.36,2,238
28157,Brooklyn,40.68949,-73.90575,Private room,50,3,2,0.1,1,0
29186,Manhattan,40.76184,-73.94848,Private room,47,1,2,0.11,1,0
26563,Brooklyn,40.661970000000004,-73.92586999999999,Entire home/apt,180,3,14,0.69,1,175
20686,Manhattan,40.77547,-73.9623,Private room,105,2,35,1.35,1,327
39034,Brooklyn,40.7177,-73.96346,Private room,70,9,1,0.19,2,15
5776,Brooklyn,40.66302,-73.95198,Entire home/apt,275,3,3,0.05,1,0
42325,Queens,40.735659999999996,-73.79059000000001,Entire home/apt,95,3,17,4.51,1,329
22873,Brooklyn,40.68473,-73.94799,Private room,58,1,17,0.65,1,0
26162,Brooklyn,40.69102,-73.94898,Entire home/apt,180,4,2,0.09,1,0
818,Manhattan,40.773379999999996,-73.98886999999999,Entire home/apt,209,7,14,0.16,1,205
28190,Brooklyn,40.6779,-73.98459,Private room,139,1,38,2.85,17,337
23701,Brooklyn,40.68468,-73.92408,Private room,45,28,10,0.46,4,310
17365,Brooklyn,40.734609999999996,-73.95724,Entire home/apt,150,4,3,0.24,1,0
10822,Brooklyn,40.68043,-73.96781,Entire home/apt,160,5,5,0.11,1,0
44318,Manhattan,40.76085,-73.99221999999999,Entire home/apt,168,3,2,1.13,2,4
4706,Brooklyn,40.70648,-73.95444,Private room,100,20,62,1.01,6,240
38649,Brooklyn,40.7092,-73.9631,Entire home/apt,195,2,14,2.04,1,28
8911,Manhattan,40.74733,-73.99023000000001,Private room,99,1,17,0.39,1,0
4969,Manhattan,40.71987,-73.9947,Entire home/apt,270,5,8,0.21,1,0
22211,Queens,40.7542,-73.92849,Entire home/apt,145,5,23,2.15,1,173
18882,Manhattan,40.77357,-73.95149,Entire home/apt,69,1,99,5.22,2,42
35418,Brooklyn,40.69343,-73.96387,Entire home/apt,119,1,3,0.3,1,0
30779,Brooklyn,40.703359999999996,-73.91998000000001,Private room,75,3,25,1.62,3,167
39151,Brooklyn,40.68414,-73.95976,Entire home/apt,125,2,30,4.59,1,243
8662,Manhattan,40.78071,-73.95309,Entire home/apt,240,5,4,0.09,1,0
17803,Queens,40.68482,-73.76929,Private room,55,5,28,0.81,5,365
4481,Brooklyn,40.674890000000005,-73.91405,Entire home/apt,99,2,190,3.67,3,287
34013,Brooklyn,40.7045,-73.937,Private room,60,3,1,0.09,1,0
24034,Manhattan,40.82186,-73.94624,Private room,80,2,2,0.08,2,0
16603,Brooklyn,40.66662,-73.98168000000001,Private room,100,31,1,0.88,2,283
23129,Brooklyn,40.6589,-74.00018,Private room,150,2,6,0.27,3,365
6482,Manhattan,40.78171,-73.94617,Entire home/apt,99,30,6,0.15,15,225
32065,Manhattan,40.77277,-73.94965,Entire home/apt,175,1,7,0.51,1,0
13137,Brooklyn,40.67621,-73.94913000000001,Private room,99,1,4,0.12,1,342
35316,Manhattan,40.77936,-73.9518,Entire home/apt,175,2,41,4.16,1,247
1317,Manhattan,40.79785,-73.97202,Entire home/apt,165,4,4,0.05,1,0
35112,Queens,40.69508,-73.86032,Entire home/apt,170,3,24,2.55,1,308
5679,Manhattan,40.81892,-73.94646999999999,Private room,70,3,86,1.48,2,157
4019,Brooklyn,40.64447,-73.99574,Private room,49,1,96,1.51,4,120
46900,Manhattan,40.745090000000005,-73.99135,Entire home/apt,325,2,4,4.0,1,197
18669,Manhattan,40.80093,-73.9601,Private room,97,3,96,2.8,1,134
664,Manhattan,40.785579999999996,-73.9726,Private room,140,1,176,1.89,1,300
8240,Manhattan,40.73789,-73.97493,Private room,113,1,2,0.04,1,0
23831,Manhattan,40.76327,-73.9612,Entire home/apt,180,6,5,0.21,1,0
779,Manhattan,40.82977,-73.94071,Entire home/apt,300,3,2,0.06,1,365
21918,Brooklyn,40.65218,-73.96193000000001,Entire home/apt,140,3,26,1.09,2,161
13194,Brooklyn,40.73343,-73.95638000000001,Private room,49,3,3,0.1,4,244
18210,Brooklyn,40.66081,-73.94963,Entire home/apt,84,2,84,2.39,1,211
21028,Brooklyn,40.66077,-73.96004,Entire home/apt,175,4,6,0.23,2,337
42959,Brooklyn,40.71867,-73.96163,Private room,100,2,1,0.59,1,44
43715,Manhattan,40.79834,-73.96117,Private room,60,30,1,0.79,32,335
14232,Brooklyn,40.68443,-74.00392,Entire home/apt,162,3,37,1.06,1,22
38485,Manhattan,40.82521,-73.94037,Entire home/apt,97,2,2,0.27,1,0
37094,Brooklyn,40.69686,-73.97315,Private room,60,2,11,2.39,2,113
27813,Brooklyn,40.63794,-73.93125,Entire home/apt,60,2,46,2.34,1,300
26763,Brooklyn,40.6832,-73.90639,Entire home/apt,130,2,7,0.39,3,0
41399,Bronx,40.80707,-73.92974,Entire home/apt,200,5,1,0.67,1,0
45503,Brooklyn,40.69056,-73.91185,Private room,80,1,1,0.68,2,74
43029,Queens,40.72755,-73.85028,Private room,60,2,2,0.77,1,0
12689,Brooklyn,40.64962,-74.00028,Entire home/apt,95,3,74,1.72,1,251
36689,Brooklyn,40.69854,-73.91086,Private room,70,2,29,4.73,2,121
6212,Queens,40.776720000000005,-73.90878000000001,Entire home/apt,127,2,12,0.25,2,0
16553,Manhattan,40.740359999999995,-73.98053,Entire home/apt,120,26,22,0.6,1,0
11843,Queens,40.75855,-73.91020999999999,Entire home/apt,120,1,1,0.02,2,0
16431,Queens,40.708709999999996,-73.89415,Entire home/apt,95,1,1,0.03,1,0
34001,Brooklyn,40.70458,-73.92753,Private room,95,2,23,2.08,5,361
5222,Brooklyn,40.6872,-73.93805,Entire home/apt,165,3,173,2.97,1,297
14649,Brooklyn,40.70024,-73.92055,Entire home/apt,115,3,33,0.89,1,20
1710,Queens,40.75612,-73.82517,Private room,55,2,31,0.53,2,282
1967,Manhattan,40.79541,-73.94465,Private room,100,1,58,0.83,2,316
12978,Manhattan,40.71813,-73.98715,Private room,70,1,3,0.07,1,0
1638,Manhattan,40.80145,-73.95572,Entire home/apt,150,1,2,0.03,1,0
44300,Manhattan,40.74301,-73.9937,Entire home/apt,249,1,8,4.8,1,131
37539,Manhattan,40.79831,-73.94201,Entire home/apt,95,3,4,4.0,1,88
6509,Brooklyn,40.7119,-73.96377,Entire home/apt,100,7,6,0.15,1,0
13719,Manhattan,40.781620000000004,-73.9475,Shared room,125,1,6,0.15,1,365
40987,Manhattan,40.75408,-73.96831,Entire home/apt,120,2,4,0.77,1,0
23991,Manhattan,40.80723,-73.96222,Private room,50,5,18,0.72,1,157
12056,Queens,40.66203,-73.7698,Entire home/apt,200,30,68,1.66,2,365
12251,Manhattan,40.72145,-73.97881,Private room,75,1,2,0.05,1,0
31966,Brooklyn,40.6954,-73.92596,Private room,54,2,7,0.54,1,90
26244,Brooklyn,40.65027,-74.01101,Private room,79,1,35,1.6,2,59
