,Bronx,latitude,longitude,room_type,price,minimum_nights,reviews_per_month,availability_365
7567,Brooklyn,40.69549,-73.92249,Entire home/apt,79,4,2.42,250
7787,Brooklyn,40.72153,-73.88753,Entire home/apt,79,3,1.6,311
7853,Brooklyn,40.68202,-73.88943,Entire home/apt,79,1,3.48,258
7871,Brooklyn,40.6886,-73.94153,Private room,79,2,0,319
8095,Brooklyn,40.68891,-73.73531,Entire home/apt,79,2,2.35,331
8195,Brooklyn,40.69021,-73.92207,Private room,79,2,1.52,127
8425,Brooklyn,40.61608,-73.99056,Private room,79,2,0,179
8437,Brooklyn,40.82579,-73.9528,Private room,79,1,1.49,74
8455,Brooklyn,40.76345,-73.99298,Private room,79,3,3.65,47
8475,Brooklyn,40.80515,-73.95595,Private room,79,3,1.33,36
8488,Brooklyn,40.69472,-73.91405,Entire home/apt,79,2,4.21,70
8636,Brooklyn,40.81325,-73.95323,Private room,79,6,0.84,18
8771,Brooklyn,40.61649,-73.99043,Private room,79,2,0.03,179
8916,Brooklyn,40.69561,-73.96269,Private room,79,3,0.75,362
8957,Brooklyn,40.72738,-74.00018,Private room,79,1,4.43,125
9042,Brooklyn,40.74733,-73.97289,Entire home/apt,79,30,0.36,308
9075,Brooklyn,40.75134,-73.85219,Entire home/apt,79,2,2.32,320
9099,Brooklyn,40.74737,-73.97407,Entire home/apt,79,29,0.42,201
9172,Brooklyn,40.70717,-73.89395,Private room,79,3,0.39,64
9229,Brooklyn,40.7103,-73.96833,Private room,79,1,1.11,152
9475,Brooklyn,40.71984,-73.94303,Entire home/apt,79,30,0.35,136
9658,Brooklyn,40.86582,-73.92582,Private room,79,4,0.78,238
9668,Brooklyn,40.67537,-73.77355,Private room,79,1,0.16,179
9883,Brooklyn,40.6876,-73.92691,Private room,79,2,1.12,173
9929,Brooklyn,40.63135,-74.13023,Private room,79,2,0.64,355
10003,Brooklyn,40.76112,-73.92631,Entire home/apt,79,3,1.35,105
10018,Brooklyn,40.67855,-74.00075,Private room,79,2,2.24,45
10073,Brooklyn,40.89121,-73.85131,Entire home/apt,79,3,0.57,5
10141,Brooklyn,40.70006,-73.95388,Private room,79,2,5.14,21
10457,Brooklyn,40.86914,-73.8951,Private room,79,3,2.79,69
10545,Brooklyn,40.72709,-73.97459,Private room,79,2,0.67,244
10632,Brooklyn,40.78676,-73.94376,Private room,79,3,0.69,46
10721,Brooklyn,40.76106,-73.98891,Private room,79,1,0.7,151
10837,Brooklyn,40.77255,-73.93023,Private room,79,3,0.93,144
10916,Brooklyn,40.87035,-73.89335,Private room,79,3,2.88,78
11028,Brooklyn,40.87031,-73.89322,Private room,79,3,3.45,68
11323,Brooklyn,40.87094,-73.89386,Private room,79,3,4.1,71
11376,Brooklyn,40.82279,-73.9517,Private room,79,2,2.59,160
11489,Brooklyn,40.8217,-73.93751,Private room,79,2,3.17,218
11656,Brooklyn,40.78949,-73.94461,Private room,79,5,1.77,131
11768,Brooklyn,40.66405,-73.98512,Private room,79,14,0.34,101
11774,Brooklyn,40.70036,-73.90238,Entire home/apt,79,9,0.48,3
11897,Brooklyn,40.7802,-73.94652,Entire home/apt,79,4,0.19,128
12122,Brooklyn,40.78569,-73.97048,Entire home/apt,79,30,0.05,329
12191,Brooklyn,40.79631,-73.94348,Private room,79,3,2.67,263
12353,Brooklyn,40.6908,-73.95507,Private room,79,1,7.79,46
12548,Brooklyn,40.6839,-73.82444,Entire home/apt,79,1,11.56,56
12601,Brooklyn,40.70533,-73.9295,Private room,79,3,0.19,69
12644,Brooklyn,40.76812,-73.95403,Private room,79,1,2.58,258
12769,Brooklyn,40.75568,-73.96798,Entire home/apt,79,6,0.35,15
12902,Brooklyn,40.67014,-73.99276,Private room,79,1,3.53,353
13231,Manhattan,40.67425,-73.87279,Shared room,79,1,0.4,180
13473,Manhattan,40.77786,-73.90819,Private room,79,7,1.64,48
13642,Manhattan,40.86144,-73.86427,Entire home/apt,79,2,4.46,225
13656,Manhattan,40.65027,-74.01101,Private room,79,1,1.6,59
13715,Manhattan,40.71835,-73.94999,Private room,79,30,0.69,333
13835,Manhattan,40.62398,-74.02786,Private room,79,1,0,179
14183,Manhattan,40.81953,-73.94717,Private room,79,2,4.14,26
14557,Manhattan,40.68437,-73.93132,Entire home/apt,79,1,3.78,92
14634,Manhattan,40.71211,-73.94058,Entire home/apt,79,1,8.57,153
14702,Manhattan,40.62848,-74.03077,Private room,79,4,0.62,175
14717,Manhattan,40.63014,-74.03126,Private room,79,4,1.44,176
14906,Manhattan,40.82967,-73.93957,Private room,79,1,3.28,51
15033,Manhattan,40.76475,-73.83,Private room,79,2,1.71,320
15099,Manhattan,40.68695,-73.8045,Private room,79,1,3.3,151
15220,Manhattan,40.69977,-73.91983,Private room,79,3,1.22,125
15403,Manhattan,40.68567,-73.95146,Entire home/apt,79,1,0.47,21
15425,Manhattan,40.78096,-73.95412,Private room,79,2,5.69,107
16245,Manhattan,40.88004,-73.9,Private room,79,3,3,59
16311,Manhattan,40.6856,-73.94388,Private room,79,1,4.91,295
16366,Manhattan,40.71686,-73.95638,Private room,79,2,1.15,1
16394,Manhattan,40.76387,-73.90995,Private room,79,1,5.03,171
16407,Manhattan,40.88068,-73.90012,Private room,79,3,3.68,63
16593,Manhattan,40.74622,-73.78297,Private room,79,1,2.4,32
16619,Manhattan,40.62947,-74.12991,Private room,79,2,0.3,355
16733,Manhattan,40.71246,-73.96084,Private room,79,3,3.53,28
16869,Manhattan,40.81585,-73.94272,Private room,79,1,4.82,78
17028,Manhattan,40.67018,-73.88867,Entire home/apt,79,3,2.73,124
17825,Manhattan,40.85456,-73.86921,Entire home/apt,79,2,3.33,10
17831,Manhattan,40.61559,-73.99027,Private room,79,2,0,89
17866,Manhattan,40.77188,-73.91157,Private room,79,6,0.65,365
17867,Manhattan,40.72119,-73.98339,Entire home/apt,79,2,2.67,3
18264,Manhattan,40.66097,-73.9319,Entire home/apt,79,4,1.27,174
18303,Manhattan,40.69335,-73.9369,Private room,79,2,0.19,338
18369,Manhattan,40.69508,-73.93735,Shared room,79,2,0.19,90
18394,Manhattan,40.79936,-73.96243,Private room,79,1,4.16,1
18840,Manhattan,40.69038,-73.93101,Private room,79,3,4.06,91
19223,Manhattan,40.61349,-73.94896,Private room,79,1,0.67,180
19369,Manhattan,40.79103,-73.97632,Private room,79,1,5.75,61
19968,Manhattan,40.73046,-73.98589,Private room,79,5,0.85,51
20210,Manhattan,40.81017,-73.92266,Private room,79,2,0.23,88
20269,Manhattan,40.76274,-73.86866,Private room,79,1,1.26,96
20292,Manhattan,40.77169,-73.99117,Shared room,79,3,0.5,76
20341,Manhattan,40.68131,-73.95254,Private room,79,2,2.1,74
20498,Manhattan,40.68405,-73.95267,Private room,79,2,1.63,79
20914,Manhattan,40.68615,-73.9356,Entire home/apt,79,3,0.25,157
20975,Manhattan,40.80475,-73.95081,Private room,79,2,5.47,43
21216,Manhattan,40.73511,-73.92488,Private room,79,5,0.16,315
21316,Manhattan,40.69285,-73.92085,Private room,79,3,0,24
21340,Manhattan,40.68155,-73.98947,Private room,79,30,0,365
21778,Manhattan,40.66106,-73.96189,Entire home/apt,79,5,1.28,8
22071,Manhattan,40.71107,-73.99509,Private room,79,1,6.38,3
22174,Manhattan,40.67775,-74.00131,Entire home/apt,79,10,0,19
22221,Manhattan,40.67315,-73.9288,Private room,79,3,0,359
22421,Manhattan,40.77221,-73.95528,Private room,79,1,3.59,7
22820,Manhattan,40.72218,-73.73396,Entire home/apt,79,1,9.03,36
22983,Manhattan,40.68759,-73.90727,Private room,79,3,1.11,69
23264,Manhattan,40.69657,-73.99604,Entire home/apt,79,3,0.77,94
23279,Manhattan,40.81981,-73.95353,Private room,79,1,0.26,60
24081,Manhattan,40.80108,-73.94602,Private room,79,1,2.23,365
24149,Manhattan,40.80584,-73.94066,Private room,79,1,7.38,93
24318,Manhattan,40.80193,-73.93866,Private room,79,2,3.56,97
24550,Manhattan,40.71627,-73.83768,Private room,79,2,0.55,85
24634,Manhattan,40.75074,-73.93648,Private room,79,2,3.95,37
24987,Manhattan,40.71579,-73.95092,Private room,79,4,0,110
25165,Manhattan,40.58692,-73.94235,Private room,79,30,0,216
25368,Manhattan,40.68868,-73.95623,Private room,79,2,4.17,351
25622,Manhattan,40.61472,-73.99143,Private room,79,2,1,364
25650,Manhattan,40.69539,-73.94399,Private room,79,2,2.43,96
25865,Manhattan,40.76853,-73.96407,Private room,79,1,4.53,31
25928,Manhattan,40.69804,-73.94546,Private room,79,2,3.33,136
26029,Manhattan,40.69267,-73.94395,Private room,79,2,1.02,5
26211,Queens,40.71074,-73.94284,Private room,79,3,2.93,9
26347,Queens,40.74807,-73.9028,Entire home/apt,79,30,0,333
26571,Queens,40.68066,-73.9457,Private room,79,3,1,83
26673,Queens,40.76701,-73.91208,Private room,79,1,1.05,281
26817,Queens,40.75386,-73.93677,Private room,79,1,7.26,348
26825,Queens,40.75502,-73.9349,Private room,79,1,4.14,360
26830,Queens,40.75358,-73.93703,Private room,79,1,7.14,350
27010,Queens,40.75246,-73.87505,Entire home/apt,79,2,4.36,336
27430,Queens,40.79632,-73.969,Private room,79,1,5,42
27679,Queens,40.64501,-73.97859,Private room,79,7,0.77,22
27902,Queens,40.76501,-73.98892,Shared room,79,1,1.58,365
28127,Queens,40.65551,-73.93942,Private room,79,3,0,365
28324,Queens,40.84853,-73.93805,Private room,79,4,1.87,16
28620,Queens,40.86963,-73.89465,Private room,79,3,0,69
28727,Queens,40.70109,-73.93952,Private room,79,30,0,365
28900,Queens,40.67054,-73.89002,Private room,79,2,1,90
29153,Queens,40.70322,-73.92718,Private room,79,30,1,297
29156,Queens,40.70483,-73.92565,Private room,79,30,1,365
29159,Queens,40.7069,-73.94521,Private room,79,1,0,342
29260,Queens,40.68474,-73.79197,Entire home/apt,79,1,0,167
29535,Queens,40.7668,-73.91917,Private room,79,4,0,2
29584,Queens,40.73691,-73.99715,Private room,79,28,0,70
29637,Queens,40.86143,-73.84556,Entire home/apt,79,2,2,169
29652,Queens,40.68263,-73.72597,Private room,79,1,3,89
29726,Queens,40.74586,-73.94553,Private room,79,2,0,279
29855,Queens,40.74575,-73.9449,Private room,79,1,0,346
29866,Queens,40.86143,-73.84573,Entire home/apt,79,2,1,354
30274,Queens,40.84905,-73.93951,Private room,79,3,0,18
17,Bronx,40.67989,-73.97798,Private room,80,1,0.37,364
41,Bronx,40.69142,-73.97376,Private room,80,3,1.16,192
42,Bronx,40.68043,-73.93934,Private room,80,1,1.01,251
52,Bronx,40.71185,-73.96204,Private room,80,2,0.38,263
57,Bronx,40.72649,-73.97904,Private room,80,1,4.72,72
93,Bronx,40.71459,-73.94844,Entire home/apt,80,30,0.4,222
131,Bronx,40.71165,-73.96087,Private room,80,3,1.86,262
301,Bronx,40.75961,-73.91117,Private room,80,1,1.21,365
333,Bronx,40.67705,-73.94925,Entire home/apt,80,3,2.27,315
380,Bronx,40.6798,-73.93908,Private room,80,1,0.41,218
466,Bronx,40.60742,-74.14388,Private room,80,2,0.05,158
471,Bronx,40.8078,-73.95208,Private room,80,7,0.35,285
490,Bronx,40.67855,-73.94949,Entire home/apt,80,3,2.47,308
498,Bronx,40.69046,-73.95167,Entire home/apt,80,2,0.4,36
563,Bronx,40.74511,-73.92398,Entire home/apt,80,10,0.98,40
577,Bronx,40.7193,-73.98966,Private room,80,5,0.46,348
713,Bronx,40.82772,-73.93877,Private room,80,1,0.21,329
826,Bronx,40.64814,-73.97304,Private room,80,2,1.35,353
858,Bronx,40.71137,-73.99403,Private room,80,4,0.56,96
862,Bronx,40.74679,-73.91853,Private room,80,3,0.01,330
865,Bronx,40.75636,-73.9939,Entire home/apt,80,30,0.37,365
885,Bronx,40.67828,-73.99136,Private room,80,2,0.41,189
941,Brooklyn,40.66199,-73.96294,Entire home/apt,80,7,0.27,20
976,Brooklyn,40.68411,-73.93875,Entire home/apt,80,4,0.49,245
986,Brooklyn,40.6772,-73.9506,Private room,80,7,0.48,365
998,Brooklyn,40.67649,-73.9435,Private room,80,2,0.08,311
1033,Brooklyn,40.81726,-73.94583,Entire home/apt,80,2,0.74,193
1047,Brooklyn,40.77975,-73.94977,Private room,80,1,1.9,319
1054,Brooklyn,40.70074,-73.92333,Private room,80,14,0.11,67
1106,Brooklyn,40.68773,-73.95631,Entire home/apt,80,3,1.97,249
1149,Brooklyn,40.6967,-73.97622,Private room,80,2,0.17,364
1191,Brooklyn,40.80517,-73.95404,Private room,80,1,1.67,365
1219,Brooklyn,40.81161,-73.94046,Private room,80,3,0,362
1232,Brooklyn,40.80193,-73.96703,Private room,80,4,0.93,15
1241,Brooklyn,40.76605,-73.92922,Private room,80,2,0.89,364
1350,Brooklyn,40.81024,-73.94154,Private room,80,4,0.52,119
1378,Brooklyn,40.72876,-73.98413,Private room,80,7,0,31
1387,Brooklyn,40.71541,-73.94464,Private room,80,4,1.08,245
1389,Brooklyn,40.76074,-73.80969,Private room,80,3,0.17,342
1455,Brooklyn,40.70502,-73.95262,Private room,80,2,0.56,89
1648,Brooklyn,40.73323,-73.98224,Private room,80,3,0.1,217
1678,Brooklyn,40.68532,-73.92429,Private room,80,1,0.2,283
1704,Brooklyn,40.68068,-73.9535,Private room,80,2,0.62,159
1769,Brooklyn,40.84002,-73.9385,Private room,80,2,0.76,249
1778,Brooklyn,40.74542,-73.98205,Shared room,80,1,0.89,365
1791,Brooklyn,40.63719,-74.03489,Entire home/apt,80,3,0.53,192
1865,Brooklyn,40.7191,-73.98866,Entire home/apt,80,3,0.92,85
1914,Brooklyn,40.72512,-73.73986,Private room,80,1,0.07,363
1996,Brooklyn,40.64674,-74.01043,Entire home/apt,80,30,0.31,161
2061,Brooklyn,40.72822,-74.00429,Private room,80,3,0.79,276
2103,Brooklyn,40.72411,-73.99372,Private room,80,4,1.88,34
2148,Brooklyn,40.81307,-73.93854,Private room,80,1,1.08,309
2166,Brooklyn,40.76364,-73.99465,Entire home/apt,80,30,0.18,365
2215,Brooklyn,40.85287,-73.93794,Private room,80,2,0.4,327
2265,Brooklyn,40.76421,-73.99115,Private room,80,5,1.72,23
2441,Brooklyn,40.68528,-73.87819,Entire home/apt,80,3,3.49,250
2447,Brooklyn,40.70022,-73.91441,Entire home/apt,80,7,0.12,3
2462,Brooklyn,40.79859,-73.96078,Private room,80,3,0.59,344
2475,Brooklyn,40.71044,-73.93987,Private room,80,30,0.08,254
2504,Brooklyn,40.76749,-73.95533,Private room,80,24,1.4,146
2525,Brooklyn,40.67828,-73.92965,Private room,80,3,2,220
2569,Brooklyn,40.82029,-73.93861,Entire home/apt,80,1,5.26,258
2605,Brooklyn,40.69112,-73.95203,Private room,80,3,1.39,199
2616,Brooklyn,40.74106,-74.00262,Private room,80,30,0.12,301
2625,Brooklyn,40.84058,-73.93885,Entire home/apt,80,5,1.26,315
2660,Brooklyn,40.66155,-73.94579,Entire home/apt,80,13,1.66,15
2764,Brooklyn,40.82349,-73.94193,Private room,80,3,0.05,178
2840,Brooklyn,40.79827,-73.96881,Private room,80,1,4.02,118
2842,Brooklyn,40.86646,-73.82154,Private room,80,3,0.03,365
2860,Brooklyn,40.71827,-73.90647,Entire home/apt,80,2,3.13,32
2863,Brooklyn,40.721,-73.98169,Private room,80,4,2.24,187
2916,Brooklyn,40.71614,-73.96134,Private room,80,2,5.54,13
3020,Brooklyn,40.80095,-73.9541,Private room,80,7,1.56,278
3052,Brooklyn,40.65513,-74.00621,Shared room,80,1,0.15,90
3155,Brooklyn,40.81198,-73.9437,Private room,80,1,4.36,227
3218,Brooklyn,40.83473,-73.93706,Private room,80,1,0.67,351
3308,Brooklyn,40.86176,-73.93082,Private room,80,2,0.83,6
3346,Brooklyn,40.8362,-73.94033,Private room,80,1,0.05,314
3373,Brooklyn,40.68184,-73.99308,Private room,80,21,1.5,364
3374,Brooklyn,40.65554,-73.96046,Private room,80,2,2.07,227
3390,Brooklyn,40.74269,-73.91518,Private room,80,1,0.97,253
3398,Brooklyn,40.6553,-73.95816,Entire home/apt,80,3,0.4,19
3462,Brooklyn,40.79416,-73.93984,Private room,80,7,0.8,121
3551,Brooklyn,40.77993,-73.94939,Private room,80,5,0.3,118
3577,Brooklyn,40.81419,-73.94717,Private room,80,4,0.46,196
3771,Brooklyn,40.70599,-73.89755,Entire home/apt,80,30,0.08,220
3804,Brooklyn,40.74944,-73.91361,Private room,80,2,1.31,102
3834,Brooklyn,40.69108,-73.91443,Private room,80,2,2.24,346
3838,Brooklyn,40.71295,-73.9623,Private room,80,1,1.12,297
3869,Brooklyn,40.68206,-73.95441,Private room,80,2,1.73,365
3980,Brooklyn,40.77783,-73.9815,Entire home/apt,80,30,0.09,180
3994,Brooklyn,40.71156,-73.95826,Private room,80,2,1.93,4
4020,Brooklyn,40.80204,-73.95656,Shared room,80,1,0,59
4030,Brooklyn,40.69213,-73.92371,Private room,80,1,0.34,342
4041,Brooklyn,40.8552,-73.93354,Entire home/apt,80,1,2.68,35
4135,Brooklyn,40.85171,-73.92894,Entire home/apt,80,3,0.56,68
4155,Brooklyn,40.69549,-73.97144,Entire home/apt,80,30,0.11,187
4248,Brooklyn,40.82775,-73.94313,Entire home/apt,80,2,0.48,87
4254,Brooklyn,40.68917,-73.96545,Private room,80,14,0.04,335
4277,Brooklyn,40.82899,-73.95024,Private room,80,1,0.19,364
4278,Brooklyn,40.78712,-73.95365,Private room,80,1,0.91,189
4300,Brooklyn,40.68983,-73.99114,Private room,80,1,3.11,272
4357,Brooklyn,40.76537,-73.99438,Entire home/apt,80,20,0.15,346
4361,Brooklyn,40.7583,-73.77232,Entire home/apt,80,2,4.69,108
4427,Brooklyn,40.81549,-73.95278,Shared room,80,1,0.62,357
4429,Brooklyn,40.71848,-73.99549,Private room,80,3,2.9,238
4436,Brooklyn,40.83554,-73.93849,Private room,80,1,5.66,54
4452,Brooklyn,40.71158,-73.85273,Private room,80,1,0.35,59
4458,Brooklyn,40.64801,-73.95623,Entire home/apt,80,4,0.97,306
4636,Brooklyn,40.77045,-73.95564,Private room,80,30,1.1,245
4645,Brooklyn,40.80843,-73.93722,Private room,80,1,2.69,211
4702,Brooklyn,40.71286,-73.98849,Shared room,80,2,0.24,89
4801,Brooklyn,40.82209,-73.90086,Private room,80,1,0.32,255
4879,Brooklyn,40.79155,-73.94746,Private room,80,1,1.36,102
4897,Brooklyn,40.73261,-74.00116,Private room,80,3,2.52,78
4928,Brooklyn,40.6586,-73.96104,Private room,80,3,0.22,331
4931,Brooklyn,40.76019,-73.92915,Entire home/apt,80,3,3.66,196
5168,Brooklyn,40.6832,-73.95455,Private room,80,3,2.64,140
5169,Brooklyn,40.68626,-73.97138,Private room,80,2,2.5,251
5175,Brooklyn,40.82589,-73.95094,Private room,80,2,2.65,173
5185,Brooklyn,40.85133,-73.93844,Private room,80,2,0.36,326
5204,Brooklyn,40.71198,-73.96114,Private room,80,2,0.38,356
5269,Brooklyn,40.82608,-73.9525,Private room,80,2,3.72,203
5291,Brooklyn,40.66002,-73.99073,Entire home/apt,80,4,3.08,142
5365,Brooklyn,40.78968,-73.94202,Private room,80,1,0.82,306
5368,Brooklyn,40.69768,-73.93359,Private room,80,2,1.04,249
5460,Brooklyn,40.83621,-73.94646,Private room,80,3,2.29,144
5461,Brooklyn,40.76623,-73.91902,Entire home/apt,80,5,0.35,12
5467,Brooklyn,40.66664,-73.99348,Private room,80,2,0.52,189
5529,Brooklyn,40.6752,-73.89218,Entire home/apt,80,5,1.01,217
5579,Brooklyn,40.7946,-73.93572,Private room,80,2,2.03,22
5586,Brooklyn,40.68889,-73.95406,Private room,80,2,0.17,281
5596,Brooklyn,40.71058,-73.9672,Private room,80,2,1.64,210
5625,Brooklyn,40.74824,-73.91361,Private room,80,4,0.89,1
5786,Brooklyn,40.67839,-73.95434,Private room,80,2,3.47,204
5790,Brooklyn,40.65474,-73.95448,Entire home/apt,80,3,1.53,124
5873,Brooklyn,40.69881,-73.93057,Private room,80,1,0.04,188
5928,Brooklyn,40.71373,-73.98465,Entire home/apt,80,3,0.34,1
5960,Brooklyn,40.77433,-73.91734,Private room,80,4,0.72,303
6075,Brooklyn,40.62257,-74.09984,Entire home/apt,80,2,3.19,324
6104,Brooklyn,40.67352,-73.95633,Entire home/apt,80,7,1.06,161
6106,Brooklyn,40.65661,-73.96144,Private room,80,1,4.11,233
6129,Brooklyn,40.71032,-73.9517,Private room,80,1,4.68,232
6142,Brooklyn,40.76152,-73.92254,Private room,80,5,0.66,249
6178,Brooklyn,40.67455,-73.93968,Entire home/apt,80,4,1.23,343
6287,Brooklyn,40.84121,-73.93881,Entire home/apt,80,12,0.67,88
6340,Brooklyn,40.79207,-73.94196,Private room,80,1,1.15,345
6472,Brooklyn,40.79724,-73.94968,Private room,80,1,4.51,58
6611,Brooklyn,40.75591,-73.99499,Entire home/apt,80,30,0.24,357
6612,Brooklyn,40.76376,-73.99323,Entire home/apt,80,30,0.12,365
6682,Brooklyn,40.61605,-74.03642,Entire home/apt,80,5,0.1,269
6696,Brooklyn,40.71142,-74.00535,Private room,80,30,0,67
6863,Brooklyn,40.82391,-73.93881,Private room,80,1,0.72,364
6880,Brooklyn,40.73307,-73.9835,Private room,80,2,0.54,362
7103,Brooklyn,40.74674,-73.87995,Private room,80,1,0.88,49
7165,Brooklyn,40.81015,-73.94728,Private room,80,1,0.79,302
7222,Brooklyn,40.71957,-73.94199,Private room,80,5,1.96,308
7243,Brooklyn,40.82385,-73.94687,Private room,80,2,2.43,63
7272,Brooklyn,40.80708,-73.95211,Private room,80,3,0.28,332
7296,Brooklyn,40.72999,-73.98275,Private room,80,3,1.79,133
7309,Brooklyn,40.80526,-73.95509,Private room,80,2,1.72,140
7352,Brooklyn,40.72387,-73.979,Private room,80,2,0.11,87
7384,Brooklyn,40.75774,-73.99523,Entire home/apt,80,30,0.07,356
7478,Brooklyn,40.81696,-73.94164,Private room,80,3,1.7,3
7580,Brooklyn,40.68023,-73.93586,Private room,80,2,1.91,12
7650,Brooklyn,40.69862,-73.93066,Private room,80,5,0.18,300
7699,Brooklyn,40.76969,-73.87912,Entire home/apt,80,3,1.79,334
7856,Brooklyn,40.70724,-73.91228,Private room,80,2,4.48,245
7860,Brooklyn,40.69021,-73.91019,Private room,80,3,0,83
7959,Brooklyn,40.70851,-73.95443,Private room,80,4,0.77,66
8063,Brooklyn,40.73944,-73.92687,Private room,80,2,1.37,364
8183,Brooklyn,40.65983,-73.93472,Private room,80,3,1.58,14
8346,Brooklyn,40.79525,-73.94912,Private room,80,2,1.96,3
8381,Brooklyn,40.86709,-73.92962,Private room,80,2,0.34,49
8401,Brooklyn,40.6421,-73.96166,Entire home/apt,80,29,0.14,68
8458,Brooklyn,40.76026,-73.9659,Private room,80,1,7.45,45
8621,Brooklyn,40.70971,-73.89741,Entire home/apt,80,28,0.1,365
8659,Brooklyn,40.63292,-73.94569,Private room,80,2,0.21,189
8738,Brooklyn,40.72544,-73.9899,Private room,80,2,0.94,28
8795,Brooklyn,40.63723,-73.90854,Entire home/apt,80,1,2.86,97
9028,Brooklyn,40.63981,-73.90211,Entire home/apt,80,3,0.42,365
9040,Brooklyn,40.67615,-74.00004,Private room,80,3,1.4,308
9063,Brooklyn,40.68798,-73.90677,Private room,80,1,0.06,281
9195,Brooklyn,40.78255,-73.95123,Private room,80,3,2.53,323
9206,Brooklyn,40.7277,-74.00375,Private room,80,2,0.23,275
9230,Brooklyn,40.70786,-73.9503,Private room,80,2,4.68,8
9248,Brooklyn,40.67984,-73.91151,Private room,80,1,0.42,189
9249,Brooklyn,40.74891,-73.82039,Private room,80,1,0.43,288
9279,Brooklyn,40.67238,-73.92781,Private room,80,6,0,358
9332,Brooklyn,40.88444,-73.90583,Private room,80,2,0.06,220
9408,Brooklyn,40.66349,-73.94222,Entire home/apt,80,28,0.26,219
9445,Brooklyn,40.82489,-73.95337,Private room,80,2,2.69,215
9506,Brooklyn,40.72043,-73.94253,Entire home/apt,80,30,0.26,152
9521,Brooklyn,40.71906,-73.94394,Entire home/apt,80,30,0.32,97
9534,Brooklyn,40.59385,-74.08825,Private room,80,1,1.1,308
9549,Brooklyn,40.64018,-73.96152,Private room,80,1,2.9,286
9711,Brooklyn,40.68342,-73.90993,Private room,80,1,0.58,88
9741,Brooklyn,40.70703,-73.90907,Private room,80,7,0.15,188
9754,Brooklyn,40.68655,-73.94299,Private room,80,2,3.14,47
9755,Brooklyn,40.77799,-73.94935,Private room,80,5,0.29,118
9891,Brooklyn,40.71228,-73.95323,Private room,80,2,5.42,52
9927,Brooklyn,40.80185,-73.96807,Private room,80,3,0.51,129
9965,Brooklyn,40.74912,-73.88667,Entire home/apt,80,1,6.13,143
9977,Brooklyn,40.70915,-73.96102,Private room,80,4,3.5,133
9984,Brooklyn,40.56933,-74.09493,Private room,80,1,0.22,358
10108,Brooklyn,40.82006,-73.90332,Private room,80,2,2.37,365
10118,Brooklyn,40.71512,-73.95655,Private room,80,2,0.9,34
10129,Brooklyn,40.68541,-73.95224,Private room,80,1,1,350
10145,Brooklyn,40.79386,-73.97223,Private room,80,1,3.51,42
10175,Brooklyn,40.66048,-73.93335,Entire home/apt,80,1,6.54,7
10182,Brooklyn,40.72117,-73.97839,Private room,80,6,0.31,7
10274,Brooklyn,40.8036,-73.94603,Private room,80,2,0.28,339
10345,Brooklyn,40.80325,-73.96174,Private room,80,8,0.1,79
10399,Brooklyn,40.82349,-73.94053,Private room,80,2,0.32,8
10407,Brooklyn,40.85425,-73.93585,Private room,80,1,0.6,31
10445,Brooklyn,40.86352,-73.90503,Private room,80,30,0,365
10460,Brooklyn,40.71521,-73.99169,Private room,80,2,5.01,105
10487,Brooklyn,40.7246,-73.98258,Private room,80,3,3.48,11
10504,Brooklyn,40.66313,-73.94028,Private room,80,1,0.39,5
10510,Brooklyn,40.86269,-73.9222,Private room,80,3,0.28,58
10518,Brooklyn,40.6886,-73.96197,Private room,80,2,0.13,10
10540,Brooklyn,40.67816,-73.90583,Private room,80,2,0.7,353
10568,Brooklyn,40.6945,-73.96005,Private room,80,30,0.48,342
10621,Brooklyn,40.66713,-73.9411,Private room,80,4,1.94,272
10666,Brooklyn,40.71368,-73.76337,Private room,80,3,0,89
10743,Brooklyn,40.80999,-73.9415,Private room,80,2,3.25,167
10761,Brooklyn,40.64863,-73.94948,Private room,80,1,1.09,342
10768,Brooklyn,40.68863,-73.90874,Private room,80,1,0.03,66
10771,Brooklyn,40.77267,-73.92871,Private room,80,3,0.76,244
10798,Brooklyn,40.66489,-73.9805,Private room,80,2,1.16,88
10860,Brooklyn,40.63876,-73.95073,Entire home/apt,80,2,4.07,337
10979,Brooklyn,40.64918,-73.96657,Private room,80,2,0.95,68
11043,Brooklyn,40.77158,-73.95786,Private room,80,5,0.15,50
11075,Brooklyn,40.72576,-74.00266,Private room,80,1,4.56,20
11093,Brooklyn,40.67365,-73.96384,Private room,80,3,0.15,88
11110,Brooklyn,40.75455,-73.92006,Private room,80,30,0.62,92
11149,Brooklyn,40.69554,-73.92458,Private room,80,3,6.17,191
11153,Brooklyn,40.70245,-73.9427,Private room,80,15,1.86,8
11228,Brooklyn,40.71942,-73.94272,Entire home/apt,80,30,0.22,156
11263,Brooklyn,40.71264,-73.99893,Entire home/apt,80,2,0.43,8
11339,Brooklyn,40.68787,-73.78843,Private room,80,1,5.19,180
11356,Brooklyn,40.7087,-73.9671,Private room,80,1,2.08,120
11375,Brooklyn,40.76505,-73.90918,Private room,80,1,5.74,365
11456,Brooklyn,40.68615,-73.78747,Private room,80,1,7,180
11472,Brooklyn,40.78311,-73.95299,Private room,80,3,3.06,28
11541,Brooklyn,40.6974,-73.92487,Private room,80,3,6.37,169
11580,Brooklyn,40.67523,-73.92326,Entire home/apt,80,7,2.92,74
